"OBJECTID","Y","X"
441,25.72294454,-80.27982927
442,25.72287335,-80.2799431
443,25.72284348,-80.27993923
444,25.72282248,-80.27972213
445,25.72298636,-80.27982982
446,25.72279818,-80.27997073
448,25.72272301,-80.27988397
449,25.7227937,-80.27968062
451,25.72282706,-80.2799663
452,25.72301523,-80.2799442
453,25.72277479,-80.27972538
454,25.72321735,-80.27993923
455,25.72285394,-80.27996409
456,25.72308045,-80.27980329
457,25.72286589,-80.27988452
458,25.72328269,-80.27991896
459,25.72330369,-80.27990859
460,25.7233068,-80.27993968
461,25.72333247,-80.27992932
462,25.72333013,-80.27996126
463,25.72335969,-80.27995954
464,25.72334958,-80.27994227
465,25.72294821,-80.27992932
467,25.72290932,-80.27980585
468,25.72276309,-80.27960986
469,25.72283776,-80.27980067
470,25.72285487,-80.27971174
471,25.7228012,-80.27962972
472,25.72278953,-80.27958741
473,25.72274442,-80.27955719
